sword_type,manufacturer,model,price,weight,overall_length,tip_type,link,note
Synthetic Messer,Knight Shop,Rawlings Messer,$50 ,1.6lbs,102cm/40in,Rounded,https://www.theknightshop.com/lightweight-langes-messer,
Synthetic Messer,Purpleheart,Pentti III Messer V3,$115 ,1.6lbs,92cm/36in,Rounded,http://www.woodenswords.com/Type_III_Messer_p/type-iii-messer.v3.htm,
Synthetic Messer,Purpleheart,Pentti Kriegsmesser,$115 ,2lbs,113cm/44.5in,Rounded,http://www.woodenswords.com/Pentti_Kriegsmesser_p/type-iii-kriegsmesser.htm,
Steel Arming Sword,Albion,Maestro I:33,$460 ,2.5lbs,96.5cm/38in,Rounded,https://www.albion-swords.com/swords/albion/maestro/sword-practice-I33.htm,
Steel Arming Sword,Arms & Armor,Scholar Sword,$460 ,2.5lbs,97cm/38in,Rounded,http://arms-n-armor.com/train207.html,
Steel Arming Sword,Arms & Armor,Scholar Training Grade,$440 ,2.5lbs,97cm/38in,Rounded,http://arms-n-armor.com/train208.html,
Steel Arming Sword,Castille,Type XV Arming,$395 ,2.6lbs,97cm/38in,Rounded,http://castillearmory.com/all-products/complete-type-xv-arming-sword-i33/,
Steel Arming Sword,Danelli,2016 Arming,$280 ,2.2lbs,100cm/39in,Thickened,http://www.danelliarmouries.com/index.php/basic-swords/82-arming-sword,Shop Closed
Steel Arming Sword,Fabri Armorum,Arming Sword Trainer,$245 ,2.6lbs,100cm/39in,Thickened,http://www.wildgeesefencing.com/fabri-armourum/arming-sword-trainer?category=Arming%20Sword,
Steel Arming Sword,Kvetun Armoury,Sword for HEMA,$145 ,2.5lbs,92cm/36in,Rolled,https://vk.com/market-106854652?w=product-106854652_462191%2Fquery,
Steel Arming Sword,Neyman,Percival,$355 ,2.2lbs,100cm/39in,Rounded,https://neymanfencing.com/swords/43-short-feder-percival.html,
Steel Arming Sword,St James' Armory,Arming Sword Trainer,$195 ,2.2lbs,97cm/38in,Rounded,https://www.facebook.com/stjamesarmory/photos/a.435197036843475.1073741829.380099492353230/446840169012495,
Steel Arming Sword,St James' Armory,XIV Arming Sword,$250 ,2.8lbs,89cm/35in,Rounded,https://www.facebook.com/stjamesarmory/posts/540262203003624,
Steel Arming Sword,Viktor Berbekutz,XVI Shortsword,$170 ,2.5lbs,99cm/39in,Rolled,http://www.woodenswords.com/Shortsword_Tournament_Feder_Oakshott_Type_XVI_p/vb.ss.feder.xvi.disc.htm,
Steel Arming Sword,Viktor Berbekutz,XIV Shortsword,$190 ,2.9lbs,89cm/35in,Rolled,http://www.woodenswords.com/Tournament_Shortsword_Steel_Oakshott_Type_XIV_p/vb.ss.feder.xiv.htm,
Synthetic Arming Sword,Blackfencer,Arming Sword,$87 ,1.8lbs,95cm/37in,Rounded,https://southcoastswords.com/blackfencer-arming-sword,
Synthetic Arming Sword,Knightshop,Red Dragon Arming,$62 ,1.5lbs,106cm/42in,Rounded,https://www.theknightshop.com/single-hand-synthetic-sparring-arming-sword,
Synthetic Arming Sword,Purpleheart,Pentti I:33,$115 ,1.6lbs,99cm/39in,Rounded,http://www.woodenswords.com/product_p/type-iii-short.i.33.htm,
